Step,Action,Input,Expected Result
1,Ingresar al sistema comercial,3,
2,Press Enter,enter,
3,Ingresar a 'Mayoreo de Autopartes' ,3,
4,Press Enter,enter,
5,Ingresar numero de sucursal ,12,
6,Press Enter,enter,
7,Ingresar opcion de 'pedidos facturacion' ,4,
8,Press Enter,enter,
9,Ingresar opcion de 'ventas directas' ,10,
10,Press Enter,enter,
11,ingresar cuenta ,45828833,
12,Verificacion de promociones ,promociones,
13,Presionar 'crtl + e' para abrir busqueda de linea ,ctrl+e,
14,Ingresar numero de linea ,31,
15,Press Enter,enter,
16,Ingresar codigo y presionar 'Enter' ,1408,
17,Press Enter,enter,
18,Presionar 3 veces enter para posicionarse en columna 'cantidad' ,enter,
19,Press Enter,enter,
20,Press Enter,enter,
21,Capturar 'cantidad',2,
22,Press Enter,enter,
23,Press Enter,enter,
24,Presionar ctrl+w para facturar lo capturado en ventana del detalle ,ctrl+w,
25,Press Enter,enter,
26,Presionar 'Tab' dos veces ,tab,
27,Press Tab ,tab,
28,Ingresar cuenta mostrador nota: el primer carácter es espacio,""" 0274890""",
29,Presionar 'Enter' para seleccionar cliente buscado ,enter,
30,Ingresar clave de agente y presionar 'Enter' ,"""06""",
31,Press Enter,enter,
31,Presionar 'Enter' en campo 'referencia' sin capturar nada ,enter,
32,Presionar 'Enter' en campo 'regimen fiscal' sin capturar nada ,enter,
33,Presionar 'Enter' en campo 'Uso del CFDI' sin capturar nada ,enter,
34,Presionar 'Enter' en campo 'Medio de entrega/enbarque' sin capturar nada ,enter,
35,Presionar 'crtl + w' para regresar a la ventana del detalle ,ctrl+w,"error al comunicarse al SAT, intentalo nuevamente"
36,Presionar 'crtl + w' para facturar ,ctrl+w,
37,Presionar 'crtl + w' para continuar ,ctrl+w,
38,"Posicionados en la columna Forma de Pago presionamos ""ctrl + R"" aplicar adeudo",ctrl+r,
39,Presionar 'crtl + w' para grabar(generar factura) ,ctrl+w,
40,Presionar 'Enter' para confirmar si es correcto ,enter,
41,Tiempo_fuera_10,10 segundos,
42,Presionar 'Enter' para continuar ,enter,
