Step,Action,Input,Expected Result
1,Ingresar al sistema comercial,3,
2,Press Enter,enter,
3,Ingresar a 'Mayoreo de Autopartes' ,3,
4,Press Enter,enter,
5,Ingresar numero de sucursal ,12,
6,Press Enter,enter,
7,Ingresar opcion de 'pedidos facturacion' ,4,
8,Press Enter,enter,
9,Ingresar opcion de 'ventas directas' ,10,
10,Press Enter,enter,
11,Ingresar cuenta ,45820263,
12,presionar 3 veces enter para posicionarse en Domicilio de entrega,enter,
13,Press Enter,enter,
14,Press Enter,enter,
15,Presionar enter por cuarta vez para seleccionar primer domicilio,enter,
16,Presionar ctrl+w para continuar y abrir detalle del pedido,ctrl+w,
17,tiempo_fuera_2,2 segundos,
18,Verificacion de promociones,promociones,
19,Presionar ctrl+o para ver la lista de opciones,ctrl+o,
20,Presionar letra 'M' hasta encontrar la opcion ctrl+u Importar pedido masivo,m,
21,Press Enter,enter,
22,Leer archivo y escribir los datos de archivo tmpmasivo.txt (esto sustituye el clic derecho),leer_archivo,
23,Presionar 'Enter' para que muestre la ultima linea bien,enter,
24,Presionamos 'ctrl + W' para continuar y pasar al detalle de facturacion,ctrl+w,
25,Presionar ctrl+w para grabar lo capturado en la ventana,ctrl+w,
26,Presionar ctrl+w para facturar,ctrl+w,
27,Tiempo_fuera_5,5 segundos,
28,Presionar 'Enter' para continuar,enter,
